heading,subskill,phrase,phrase_jd_freq,phrase_weighted_score,source_type_mix
Learning platforms & learning tech,Learning platform ecosystem,learning platforms,5,4.75,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,digital learning platforms,3,2.75,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning systems,3,3.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,academy s learning systems,2,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,based lms platforms,2,3.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning management systems,2,2.0,market_phrase | taxonomy_match
Learning platforms & learning tech,Learning platform ecosystem,learning platform,2,3.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,lms and lxp,2,4.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,platform operations,2,3.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,academy learning systems,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,availability academy learning systems,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,championing digital learning systems,1,0.75,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,digital learning systems,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,ensure smooth platform operations,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,including learning platforms,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,including lms platforms,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,institutional digital learning platforms,1,0.75,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,integration with lms platforms,1,0.5,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning platform including,1,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning platform including e,1,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning platform offering,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning platform offering continues,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning platforms to enhance,1,0.75,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning systems and enhancement,1,0.75,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning systems and platforms,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning systems into curricular,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,level with lms platforms,1,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,lms and lxp platforms,1,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,lms platforms and e,1,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,lms platforms plume,1,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,lms platforms plume experience,1,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,maintaining a learning platform,1,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,platform operations and excellent,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,smooth platform operations,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,use of learning platforms,1,1.0,market_phrase
Learning platforms & learning tech,Standards & interoperability,scorm xapi,5,8.0,market_phrase
Learning platforms & learning tech,Standards & interoperability,scorm xapi packages,2,3.0,market_phrase
Learning platforms & learning tech,Standards & interoperability,xapi packages,2,3.0,market_phrase
Learning platforms & learning tech,Standards & interoperability,content standards scorm xapi,1,2.0,market_phrase
Learning platforms & learning tech,Standards & interoperability,ensure scorm xapi,1,1.0,market_phrase
Learning platforms & learning tech,Standards & interoperability,ensure scorm xapi compliance,1,1.0,market_phrase
Learning platforms & learning tech,Standards & interoperability,scorm xapi compliance,1,1.0,market_phrase
Learning platforms & learning tech,Standards & interoperability,standards scorm xapi,1,2.0,market_phrase
Project delivery & prioritisation,Change management,change management,2,1.5,taxonomy_match
Project delivery & prioritisation,Change management,change or transition,2,2.0,market_phrase
Project delivery & prioritisation,Change management,period of change,2,2.0,market_phrase
Project delivery & prioritisation,Deadline & time management,meet deadlines,5,7.0,taxonomy_match
Project delivery & prioritisation,Deadline & time management,time management,4,5.0,taxonomy_match
Project delivery & prioritisation,Deadline & time management,deadlines are met,2,2.0,market_phrase
Project delivery & prioritisation,Deadline & time management,deadlines are met while,2,2.0,market_phrase
Project delivery & prioritisation,Deadline & time management,ensure deadlines,2,2.0,market_phrase
Project delivery & prioritisation,Deadline & time management,ensure deadlines are met,2,2.0,market_phrase
Project delivery & prioritisation,Delivery coordination,manage content delivery,1,2.0,market_phrase
Project delivery & prioritisation,Delivery coordination,upload and manage content,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple,12,18.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,multiple projects,10,13.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple projects,5,7.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple programmes,2,4.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple programmes simultaneously,2,4.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,managing multiple,2,3.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,organizational and time,2,2.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,projects simultaneously,2,2.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,able to manage multiple,1,2.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,client projects simultaneously,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple assets,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple client,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple client projects,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple simulation,1,2.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple simulation builds,1,2.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple stakeholders,1,2.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple workstreams,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,managing multiple priorities,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,managing multiple projects,1,2.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,multiple client projects simultaneously,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,multiple projects and priorities,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,multiple projects and work,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,multiple projects at once,1,2.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,multiple projects simultaneously,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,prioritise multiple projects,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,projects and managing multiple,1,2.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,projects simultaneously and navigate,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,quickly and manage multiple,1,2.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,work on multiple projects,1,1.0,market_phrase
Project delivery & prioritisation,Project management,project management,9,12.0,market_phrase | taxonomy_match
Project delivery & prioritisation,Project management,digital learning project management,1,1.0,market_phrase
Project delivery & prioritisation,Project management,learning project management,1,1.0,market_phrase
Project delivery & prioritisation,Project management,modern project management,1,2.0,market_phrase
Project delivery & prioritisation,Project management,project management principles,1,1.0,taxonomy_match
Project delivery & prioritisation,Project management,project management within software,1,1.0,market_phrase
"Quality, standards & continuous improvement",Attention to detail,attention to detail,9,14.0,taxonomy_match
"Quality, standards & continuous improvement",Attention to detail,eye for detail,2,2.0,market_phrase
"Quality, standards & continuous improvement",Attention to detail,keen eye for detail,1,1.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,continuous improvement,7,8.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,process improvements,2,4.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,applying continuous improvement,1,2.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,applying continuous improvement methods,1,2.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,continuous improvement focused,1,1.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,continuous improvement methodologies,1,2.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,continuous improvement methods,1,2.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,continuous improvement of digital,1,1.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,continuous improvements,1,1.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,contribute to continuous improvement,1,1.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,drive continuous improvement,1,1.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,drive continuous improvements,1,1.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,ensure sustainable process improvements,1,2.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,evaluation and continuous improvement,1,1.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,implementing process improvements,1,2.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,other continuous improvement,1,2.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,other continuous improvement methodologies,1,2.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,proactive continuous improvement,1,1.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,proactive continuous improvement focused,1,1.0,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,sustainable process improvements,1,2.0,market_phrase
"Quality, standards & continuous improvement",Quality assurance & standards,quality assurance,4,7.0,market_phrase | taxonomy_match
"Quality, standards & continuous improvement",Quality assurance & standards,accessibility standards,2,1.5,market_phrase
"Quality, standards & continuous improvement",Quality assurance & standards,highest standards of functionality,2,2.0,market_phrase
"Quality, standards & continuous improvement",Quality assurance & standards,industry standards,2,3.0,market_phrase
"Quality, standards & continuous improvement",Quality assurance & standards,quality standards,2,2.0,taxonomy_match
"Quality, standards & continuous improvement",Quality assurance & standards,standards of functionality,2,2.0,market_phrase
"Quality, standards & continuous improvement",Quality assurance & standards,accessibility standards is desirable,1,0.5,market_phrase
"Quality, standards & continuous improvement",Quality assurance & standards,accessibility standards wcac,1,1.0,market_phrase
"Quality, standards & continuous improvement",Quality assurance & standards,digital accessibility standards,1,0.5,market_phrase
"Quality, standards & continuous improvement",Quality assurance & standards,follow quality assurance,1,2.0,market_phrase
"Quality, standards & continuous improvement",Quality assurance & standards,industry standards and share,1,1.0,market_phrase
"Quality, standards & continuous improvement",Quality assurance & standards,trends and industry standards,1,1.0,market_phrase
"Quality, standards & continuous improvement",Quality delivery,high quality work,3,4.0,market_phrase
"Quality, standards & continuous improvement",Quality delivery,high quality educational,2,3.0,market_phrase
"Quality, standards & continuous improvement",Quality delivery,maintaining high quality,2,2.0,market_phrase
"Quality, standards & continuous improvement",Quality delivery,maintaining high quality work,2,2.0,market_phrase
"Quality, standards & continuous improvement",Quality delivery,while maintaining high quality,2,2.0,market_phrase
"Quality, standards & continuous improvement",Quality delivery,delivering high quality educational,1,2.0,market_phrase
"Quality, standards & continuous improvement",Quality delivery,high quality educational outputs,1,1.0,market_phrase
"Quality, standards & continuous improvement",Quality delivery,high quality work assets,1,2.0,market_phrase
"Quality, standards & continuous improvement",Risk management,risk management,2,4.0,market_phrase | taxonomy_match
"Coaching, facilitation & training delivery",Coaching & mentoring,coaching,6,8.75,taxonomy_match
"Coaching, facilitation & training delivery",Coaching & mentoring,mentoring,3,3.75,taxonomy_match
"Coaching, facilitation & training delivery",Coaching & mentoring,coaching managers,1,1.0,market_phrase
"Coaching, facilitation & training delivery",Coaching & mentoring,team and mentoring,1,1.0,market_phrase
"Coaching, facilitation & training delivery",Facilitation,facilitation and training,2,4.0,market_phrase
"Coaching, facilitation & training delivery",Facilitation,done facilitation and training,1,2.0,market_phrase
"Coaching, facilitation & training delivery",Facilitation,facilitation and training strong,1,2.0,market_phrase
"Coaching, facilitation & training delivery",Facilitation,facilitation skills,1,2.0,market_phrase
"Coaching, facilitation & training delivery",Facilitation,facilitation skills to lead,1,2.0,market_phrase
"Coaching, facilitation & training delivery",Facilitation,structured problem solving,1,2.0,market_phrase
"Coaching, facilitation & training delivery",Facilitation,training strong facilitation skills,1,2.0,market_phrase
"Coaching, facilitation & training delivery",Training content,training content,3,4.0,market_phrase
"Coaching, facilitation & training delivery",Training content,although the training content,1,1.0,market_phrase
"Coaching, facilitation & training delivery",Training content,deliver training content,1,1.0,market_phrase
"Coaching, facilitation & training delivery",Training content,deliver training content clearly,1,1.0,market_phrase
"Coaching, facilitation & training delivery",Training content,ensure that training content,1,2.0,market_phrase
"Coaching, facilitation & training delivery",Training content,training content clearly,1,1.0,market_phrase
"Coaching, facilitation & training delivery",Training content,training content is correctly,1,2.0,market_phrase
"Coaching, facilitation & training delivery",Training delivery,compliance led training,2,3.0,market_phrase
"Coaching, facilitation & training delivery",Training delivery,compliance training,2,2.0,market_phrase
"Coaching, facilitation & training delivery",Training delivery,effective training,2,2.0,market_phrase
"Coaching, facilitation & training delivery",Training delivery,sales training,2,1.5,market_phrase
"Coaching, facilitation & training delivery",Training delivery,software training,2,2.0,market_phrase
"Coaching, facilitation & training delivery",Training delivery,technical training,2,1.25,market_phrase
"Coaching, facilitation & training delivery",Training delivery,training consulting,2,2.0,market_phrase
"Coaching, facilitation & training delivery",Training delivery,all round software training,1,1.0,market_phrase
"Coaching, facilitation & training delivery",Training delivery,aviation or technical training,1,0.5,market_phrase
"Coaching, facilitation & training delivery",Training delivery,delivering effective training,1,1.0,market_phrase
"Coaching, facilitation & training delivery",Training delivery,developing sales training,1,0.5,market_phrase
"Coaching, facilitation & training delivery",Training delivery,effective training that cuts,1,1.0,market_phrase
"Coaching, facilitation & training delivery",Training delivery,face technical training,1,0.75,market_phrase
"Coaching, facilitation & training delivery",Training delivery,retail sales training,1,1.0,market_phrase
"Coaching, facilitation & training delivery",Training delivery,round software training,1,1.0,market_phrase
"Coaching, facilitation & training delivery",Training delivery,round software training professional,1,1.0,market_phrase
"Coaching, facilitation & training delivery",Training delivery,sales training for luxury,1,1.0,market_phrase
"Coaching, facilitation & training delivery",Training delivery,software training designing,1,1.0,market_phrase
"Coaching, facilitation & training delivery",Training delivery,software training designing training,1,1.0,market_phrase
"Coaching, facilitation & training delivery",Training delivery,software training professional,1,1.0,market_phrase
"Coaching, facilitation & training delivery",Training delivery,systems or software training,1,1.0,market_phrase
Communication,Core communication,communication,21,23.5,taxonomy_match
Communication,Writing & verbal communication,writing,4,5.5,taxonomy_match
Communication,Writing & verbal communication,communicator with strong written,2,4.0,market_phrase
Communication,Writing & verbal communication,written and verbal,2,4.0,market_phrase
Communication,Writing & verbal communication,writing storyboarding,1,2.0,market_phrase
Analytics & problem solving,Data-driven decision making,data driven,8,8.5,market_phrase
Analytics & problem solving,Data-driven decision making,data driven design,2,2.0,market_phrase
Analytics & problem solving,Data-driven decision making,analytical and data driven,1,1.0,market_phrase
Analytics & problem solving,Data-driven decision making,data driven approach,1,2.0,market_phrase
Analytics & problem solving,Data-driven decision making,data driven content,1,1.0,market_phrase
Analytics & problem solving,Data-driven decision making,data driven content roadmap,1,1.0,market_phrase
Analytics & problem solving,Data-driven decision making,data driven mindset,1,0.5,market_phrase
Analytics & problem solving,Data-driven decision making,leveraging data driven,1,1.0,market_phrase
Analytics & problem solving,Data-driven decision making,principles and data driven,1,1.0,market_phrase
Analytics & problem solving,Insight & skills analysis,identify skills gaps,2,1.5,taxonomy_match
Analytics & problem solving,Insight & skills analysis,market insight,2,3.0,market_phrase
Analytics & problem solving,Insight & skills analysis,interpret market insight,1,2.0,market_phrase
Analytics & problem solving,Insight & skills analysis,market insight advise,1,1.0,market_phrase
Analytics & problem solving,Insight & skills analysis,market insight advise clients,1,1.0,market_phrase
Analytics & problem solving,Learning analytics,analytics dashboards,2,2.5,market_phrase
Analytics & problem solving,Learning analytics,learning analytics,2,2.0,market_phrase
Analytics & problem solving,Learning analytics,analysis of learning data,1,1.0,market_phrase
Analytics & problem solving,Learning analytics,learning analytics and digital,1,1.0,market_phrase
Analytics & problem solving,Learning analytics,learning analytics to assess,1,1.0,market_phrase
Analytics & problem solving,Problem solving,problem solving,10,13.0,market_phrase
Analytics & problem solving,Problem solving,analytical and problem solving,3,5.0,market_phrase
Analytics & problem solving,Problem solving,problem solving skills,3,4.0,market_phrase
Analytics & problem solving,Problem solving,problem solving and documentation,2,3.0,market_phrase
Analytics & problem solving,Problem solving,problem solving mindset,2,2.0,market_phrase
Analytics & problem solving,Problem solving,solve problems,2,3.0,market_phrase | taxonomy_match
Analytics & problem solving,Problem solving,solving mindset,2,2.0,market_phrase
Analytics & problem solving,Problem solving,creative problem solving,1,1.0,market_phrase
Analytics & problem solving,Problem solving,creative problem solving skills,1,1.0,market_phrase
Analytics & problem solving,Problem solving,initiative and solve problems,1,2.0,market_phrase
Analytics & problem solving,Problem solving,problem solving skills when,1,1.0,market_phrase
Analytics & problem solving,Problem solving,problem solving skills where,1,1.0,market_phrase
Analytics & problem solving,Problem solving,resilience and problem solving,1,1.0,market_phrase
Analytics & problem solving,Problem solving,solving mindset with experience,1,1.0,market_phrase
Analytics & problem solving,Problem solving,troubleshooting and problem solving,1,1.0,market_phrase
Authoring tools & multimedia production,Adobe & creative tools,adobe creative suite,5,4.5,taxonomy_match
Authoring tools & multimedia production,Adobe & creative tools,adobe creative cloud,1,1.0,market_phrase
Authoring tools & multimedia production,Articulate toolchain,articulate storyline,5,4.5,market_phrase
Authoring tools & multimedia production,Articulate toolchain,articulate 360,2,2.0,market_phrase
Authoring tools & multimedia production,Articulate toolchain,articulate rise,2,2.0,market_phrase
Authoring tools & multimedia production,Articulate toolchain,articulate 360 suite,1,1.0,market_phrase
Authoring tools & multimedia production,Articulate toolchain,articulate rise and storyline,1,1.0,market_phrase
Authoring tools & multimedia production,Articulate toolchain,articulate storyline and ideally,1,1.0,market_phrase
Authoring tools & multimedia production,Articulate toolchain,articulate storyline and other,1,1.0,market_phrase
Authoring tools & multimedia production,Articulate toolchain,elucidat or articulate rise,1,1.0,market_phrase
Authoring tools & multimedia production,Articulate toolchain,ideally articulate rise,1,1.0,market_phrase
Authoring tools & multimedia production,Articulate toolchain,proficiency in articulate storyline,1,1.0,market_phrase
Authoring tools & multimedia production,Articulate toolchain,tool ideally articulate rise,1,1.0,market_phrase
Authoring tools & multimedia production,Articulate toolchain,tools articulate storyline,1,0.5,market_phrase
Authoring tools & multimedia production,Authoring tools,authoring tools,9,12.0,market_phrase
Authoring tools & multimedia production,Authoring tools,content authoring,4,4.5,market_phrase
Authoring tools & multimedia production,Authoring tools,authoring tool,3,2.5,market_phrase
Authoring tools & multimedia production,Authoring tools,content authoring tools,2,2.5,market_phrase
Authoring tools & multimedia production,Authoring tools,other authoring tools,2,2.0,market_phrase
Authoring tools & multimedia production,Authoring tools,authoring tool ideally,1,1.0,market_phrase
Authoring tools & multimedia production,Authoring tools,authoring tool ideally articulate,1,1.0,market_phrase
Authoring tools & multimedia production,Authoring tools,authoring tool or similar,1,0.5,market_phrase
Authoring tools & multimedia production,Authoring tools,authoring tools a plus,1,1.0,market_phrase
Authoring tools & multimedia production,Authoring tools,authoring tools and lms,1,2.0,market_phrase
Authoring tools & multimedia production,Authoring tools,authoring tools articulate,1,0.5,market_phrase
Authoring tools & multimedia production,Authoring tools,authoring tools articulate storyline,1,0.5,market_phrase
Authoring tools & multimedia production,Authoring tools,authoring tools essential,1,2.0,market_phrase
Authoring tools & multimedia production,Authoring tools,content authoring experience,1,1.0,market_phrase
Authoring tools & multimedia production,Authoring tools,content authoring solutions,1,1.0,market_phrase
Authoring tools & multimedia production,Authoring tools,content authoring tools articulate,1,0.5,market_phrase
Authoring tools & multimedia production,Authoring tools,design and content authoring,1,1.0,market_phrase
Authoring tools & multimedia production,Authoring tools,developing content authoring,1,1.0,market_phrase
Authoring tools & multimedia production,Authoring tools,developing content authoring solutions,1,1.0,market_phrase
Authoring tools & multimedia production,Authoring tools,digital authoring tools,1,2.0,market_phrase
Authoring tools & multimedia production,Authoring tools,ideally other authoring tools,1,1.0,market_phrase
Authoring tools & multimedia production,Authoring tools,including content authoring,1,2.0,market_phrase
Authoring tools & multimedia production,Authoring tools,including content authoring tools,1,2.0,market_phrase
Authoring tools & multimedia production,Authoring tools,rapid authoring tools,1,1.0,market_phrase
Authoring tools & multimedia production,Authoring tools,use authoring tools,1,2.0,market_phrase
Authoring tools & multimedia production,Authoring tools,use authoring tools essential,1,2.0,market_phrase
Authoring tools & multimedia production,Graphic & visual design,graphic design,3,3.0,taxonomy_match
Authoring tools & multimedia production,Graphic & visual design,creative design,2,3.0,market_phrase
Authoring tools & multimedia production,Graphic & visual design,creative design knowledge,1,2.0,market_phrase
Authoring tools & multimedia production,Graphic & visual design,creative design knowledge essential,1,2.0,market_phrase
Authoring tools & multimedia production,Graphic & visual design,technical and creative design,1,2.0,market_phrase
Authoring tools & multimedia production,Multimedia & video production,engaging multimedia,2,2.5,market_phrase
Authoring tools & multimedia production,Multimedia & video production,video editing,2,1.5,market_phrase | taxonomy_match
Authoring tools & multimedia production,Multimedia & video production,basic video editing,1,1.0,market_phrase
Authoring tools & multimedia production,Multimedia & video production,developing engaging multimedia,1,0.5,market_phrase
Authoring tools & multimedia production,Multimedia & video production,developing engaging multimedia assets,1,0.5,market_phrase
Authoring tools & multimedia production,Multimedia & video production,engaging multimedia assets,1,0.5,market_phrase
Authoring tools & multimedia production,Multimedia & video production,engaging multimedia online,1,2.0,market_phrase
Authoring tools & multimedia production,Multimedia & video production,engaging multimedia onlinelearning,1,2.0,market_phrase
Authoring tools & multimedia production,Multimedia & video production,produce engaging multimedia,1,2.0,market_phrase
Authoring tools & multimedia production,Multimedia & video production,produce engaging multimedia online,1,2.0,market_phrase
AI capability,AI tools literacy,ai tools,6,8.0,market_phrase
AI capability,AI tools literacy,proficient with ai tools,2,2.0,market_phrase
AI capability,AI tools literacy,ai tools to prototype,1,1.0,market_phrase
AI capability,AI tools literacy,embed generative ai tools,1,1.0,market_phrase
AI capability,AI tools literacy,emerging ai tools,1,1.0,market_phrase
AI capability,AI tools literacy,generative ai tools,1,1.0,market_phrase
AI capability,AI tools literacy,passion for ai tools,1,1.0,market_phrase
AI capability,AI tools literacy,relevant ai tools,1,2.0,market_phrase
AI capability,AI tools literacy,simulations for ai tools,1,2.0,market_phrase
AI capability,Applied AI in workflow,agentic ai,2,3.0,market_phrase
AI capability,Applied AI in workflow,ai and its application,2,4.0,market_phrase
AI capability,Applied AI in workflow,ai driven,2,2.0,market_phrase
AI capability,Applied AI in workflow,ai enabled,2,4.0,market_phrase
AI capability,Applied AI in workflow,agentic ai enabled,1,2.0,market_phrase
AI capability,Applied AI in workflow,agentic ai enabled solutions,1,2.0,market_phrase
AI capability,Applied AI in workflow,ai driven solutions,1,1.0,market_phrase
AI capability,Applied AI in workflow,ai driven tools,1,1.0,market_phrase
AI capability,Applied AI in workflow,ai enabled processes,1,2.0,market_phrase
AI capability,Applied AI in workflow,ai enabled solutions,1,2.0,market_phrase
AI capability,Applied AI in workflow,including agentic ai,1,1.0,market_phrase
AI capability,Applied AI in workflow,lxps and agentic ai,1,2.0,market_phrase
AI capability,Applied AI in workflow,technologies including agentic ai,1,1.0,market_phrase
